epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4209,0.51027,1.30358,1.10212,0.87973,0.8985,0.97346,0.90496,0.36562,0.81438,0.98987,0.000554084,0.000554084,0.000554084
2,119.61,0.50132,0.64951,1.07551,0.71787,0.81104,0.80988,0.63262,0.71989,1.32112,1.54665,0.00108778,0.00108778,0.00108778
3,175.519,0.47981,0.49553,1.05496,0.90692,0.91023,0.98784,0.9069,0.39964,0.47103,1.02086,0.00159947,0.00159947,0.00159947
4,231.136,0.47687,0.44273,1.05569,0.98005,0.97896,0.99324,0.94445,0.33873,0.29345,0.95974,0.00156798,0.00156798,0.00156798
5,287.711,0.45002,0.39221,1.04115,0.97455,0.98531,0.99356,0.93873,0.36508,0.30869,0.9846,0.00153497,0.00153497,0.00153497
6,344.171,0.43356,0.36504,1.03143,0.96088,0.94953,0.99363,0.93895,0.35164,0.33135,0.97359,0.00150197,0.00150197,0.00150197
7,401.192,0.41825,0.33019,1.01492,0.97923,0.98149,0.99482,0.94663,0.33958,0.28266,0.95832,0.00146896,0.00146896,0.00146896
8,459.985,0.42143,0.31285,1.01792,0.98407,0.99166,0.9944,0.93064,0.377,0.25309,1.0181,0.00143595,0.00143595,0.00143595
9,517.325,0.40634,0.31121,1.0113,0.90677,0.9183,0.99429,0.95881,0.30176,0.38495,0.92947,0.00140295,0.00140295,0.00140295
10,574.257,0.40028,0.29225,1.00288,0.99942,0.99983,0.995,0.96911,0.28434,0.19088,0.90416,0.00136994,0.00136994,0.00136994
11,631.664,0.39387,0.28542,1.00188,0.99636,0.9999,0.99498,0.96749,0.28615,0.19511,0.90927,0.00133693,0.00133693,0.00133693
12,688.674,0.38787,0.28227,1.00104,0.99835,0.99813,0.99488,0.96667,0.28319,0.20726,0.90568,0.00130393,0.00130393,0.00130393
13,746.29,0.38725,0.27199,0.99777,0.98065,0.98013,0.99385,0.96193,0.29184,0.223,0.91497,0.00127092,0.00127092,0.00127092
14,813.841,0.3796,0.26543,0.99428,0.99957,0.99947,0.995,0.97361,0.26942,0.16549,0.89342,0.00123791,0.00123791,0.00123791
15,887.491,0.3774,0.25774,0.99115,0.99974,1,0.995,0.97673,0.26738,0.16443,0.89165,0.00120491,0.00120491,0.00120491
16,951.569,0.37027,0.25178,0.98697,0.98562,0.9839,0.99499,0.97115,0.25866,0.19006,0.88468,0.0011719,0.0011719,0.0011719
17,1012.95,0.37144,0.24884,0.98521,0.99967,0.99878,0.995,0.97215,0.26657,0.16752,0.88866,0.00113889,0.00113889,0.00113889
18,1070.52,0.37167,0.2468,0.992,0.99988,1,0.995,0.97392,0.26459,0.15553,0.88995,0.00110589,0.00110589,0.00110589
